CPEJ0	DPEJ0	EPEJ0	FPEJ0	BJ14B4P	APEJ0	APBJ0	APBJ0_bis	BPEJ0	APEJ21	BPEJ14	AJ07B1C	AJ14B1C	AJ14B1P	AJ14B3P	AJ07B2C	AJ07B3C	AJ07B4C	AJ07B1P	AJ07B2P	AJ07B3P	AJ07B4P	AJ14B2C	AJ14B3C	AJ14B4C	AJ14B2P	AJ14B4P	BJ07B1C	BJ07B2C	BJ07B3C	BJ07B4C	BJ07B1P	BJ07B2P	BJ07B3P	BJ07B4P	BJ14B1C	BJ14B2C	BJ14B3C	BJ14B4C	BJ14B1P	BJ14B2P	BJ14B3P
Cluster_201	445	268	265	246	0	577	0	0	463	66	177	0	0	0	0	0	2	51	0	1	0	241	0	0	7	34	0	0	1	0	0	2	4	0	0	0	0	0	0	0	1	0
Cluster_1	317	278	275	262	762	441	13	2	365	138	222	237	218	1612	974	877	378	160	306	962	942	756	652	801	734	1088	626	336	109	102	77	711	581	514	408	736	1355	251	844	1492	1385	803
Cluster_346	29	23	19	10	0	24	115	56	20	291	104	3	0	0	0	0	2	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_75	35	30	76	68	7	35	55	102	44	292	135	30	11	0	0	133	57	184	5	2	1	7	215	33	315	6	8	3	5	2	5	0	0	1	0	9	0	9	29	0	0	0
Cluster_177	0	0	0	0	3	0	0	0	0	0	0	1	52	4	4	7	2	0	0	1	2	0	52	183	48	1	5	0	0	0	0	0	0	0	0	2	3	7	97	0	0	0
Cluster_40	0	0	7	3	144	4	1	0	3	1	1	75	127	50	73	146	96	52	94	239	181	167	60	57	54	74	52	48	20	29	41	69	33	51	35	138	37	34	134	47	18	31
Cluster_28	4	0	0	0	368	0	33	5	0	0	0	279	45	0	0	29	75	109	22	2	10	6	48	23	340	9	3	144	84	8	50	29	0	0	0	291	0	156	112	8	8	0
Cluster_13	0	0	0	0	2243	0	32	11	0	0	0	52	0	0	5	4	36	24	0	0	129	4	4	18	38	0	0	737	302	6	1	208	11	0	0	1874	0	1047	38	50	37	3
Cluster_34	0	0	0	0	0	0	0	0	1	0	0	34	710	7	151	8	137	3	13	1	259	11	40	124	10	8	23	0	0	0	1	0	0	0	0	0	4	0	30	0	0	0
Cluster_51	6	3	0	0	0	6	7	9	23	10	11	33	220	802	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_134	79	106	156	204	0	73	0	1	63	51	35	0	0	0	0	5	2	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_77	0	0	0	3	61	0	0	0	0	1	0	369	162	345	70	38	11	47	164	90	20	47	209	100	34	89	348	5	0	166	4	4	2	842	26	53	77	138	188	90	28	389
Cluster_171	0	0	0	0	3	0	0	0	0	0	0	43	16	33	1	24	9	0	7	52	4	1	39	11	17	14	30	3	0	2	0	0	0	8	0	8	18	1	86	5	0	5
Cluster_107	242	343	154	145	0	356	201	116	331	133	107	40	5	3	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Cluster_7	832	868	1065	1306	1284	886	50	68	817	654	865	1683	942	1229	2143	3398	4722	4908	3258	3028	2889	3116	1598	1860	1364	2237	2196	4819	7460	6930	6634	2906	3417	3085	3359	1172	2509	3150	2329	1351	1815	1805
