EJ14B3C11	EJ14B4C11	EJ14B1C12	EJ14B2C12	EJ14B3C12	EJ14B4C12	FJ14B1C11 	FJ14B2C11	FJ14B3C11	FJ14B4C11	FJ14B1C12	FJ14B2C12	FJ14B3C12	FJ14B4C12	CPEJ0	DPEJ0	EPEJ0	FPEJ0	EJ14B1C11	EJ14B2C11	APEJ0	APBJ0	APBJ0_bis	BPEJ0	APEJ21	BPEJ14
Cluster_201	0	0	0	3	0	0	0	0	0	0	0	0	0	0	419	285	231	237	3	0	586	0	0	474	48	174
Cluster_1	389	32	380	90	412	40	420	843	733	842	745	837	724	720	319	263	282	242	548	136	443	8	0	382	136	218
Cluster_346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	31	25	8	0	0	19	117	41	21	258	118
Cluster_75	36	6	146	4	16	5	0	0	2	0	0	3	0	0	37	34	64	59	224	6	48	59	111	44	282	130
Cluster_177	0	3	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
Cluster_40	92	344	27	37	94	280	81	133	94	48	108	76	202	41	0	1	6	3	45	28	1	0	0	1	1	2
Cluster_28	5	0	22	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	23	1	1	0	0
Cluster_13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	9	0	0	0
Cluster_34	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Cluster_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	12	4	11	21	13	11
Cluster_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	132	176	194	0	0	69	0	0	45	43	26
Cluster_77	30	0	30	22	57	0	0	0	0	0	0	0	0	0	0	0	0	2	47	11	0	0	0	0	1	0
Cluster_171	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Cluster_107	4	0	0	1	0	0	2	0	0	1	0	0	0	0	229	324	134	138	0	0	365	204	135	327	134	112
Cluster_7	482	1034	740	2022	626	991	2022	1094	1838	2682	1519	1378	1872	3614	793	866	1023	1277	667	2560	879	57	53	764	629	875
Cluster_159	0	0	0	0	0	0	0	0	0	0	2	0	0	0	45	18	44	30	0	0	36	0	0	24	32	24
Cluster_114	1	0	2	0	0	0	0	0	0	0	0	2	0	0	4	5	3	1	3	0	3	2	0	3	2	4
Cluster_23	25	8	303	7	65	17	1518	464	244	264	2379	457	241	310	74	102	94	151	366	13	130	384	1012	102	32	32
Cluster_20	58	73	397	69	101	73	1323	839	541	420	1270	989	410	485	31	28	21	25	420	59	37	8	3	30	17	7
Cluster_59	0	0	2	0	0	0	52	67	23	65	43	41	20	66	0	2	0	1	6	0	3	0	0	2	0	0
Cluster_56	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_381	0	0	27	0	0	0	18	1	2	8	19	1	0	10	3	0	14	4	28	0	0	5	0	0	0	0
Cluster_33	0	0	31	0	0	0	167	148	40	159	73	133	31	174	7	2	3	5	18	0	6	4	0	4	3	4
Cluster_147	0	0	7	0	0	0	152	12	116	44	95	18	121	59	1	0	1	3	6	0	3	2	0	0	6	0
Cluster_74	6	5	4	0	1	8	65	131	132	87	51	140	123	76	0	0	0	0	7	0	0	0	0	0	0	0
Cluster_110	4	0	14	0	0	0	22	16	64	29	32	16	85	52	0	2	0	0	4	0	0	0	0	0	0	0
Cluster_62	2	6	15	0	0	0	29	5	33	20	41	7	38	34	2	0	0	0	9	0	0	2	0	0	0	0
Cluster_30	23	114	23	174	20	118	229	150	236	288	186	189	316	271	2	0	2	0	19	168	1	0	0	1	0	3
Cluster_64	0	0	0	0	0	0	57	6	36	0	37	21	57	0	0	0	0	0	1	0	0	0	0	0	0	0
Cluster_109	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	26	9	14	2	0	19	0	0	13	27	10
Cluster_67	11	375	29	6	12	462	27	45	53	38	4	58	69	23	1	2	4	4	8	5	9	0	0	2	134	67
Cluster_322	0	0	2	0	0	0	0	0	0	0	0	0	0	0	60	57	67	75	0	0	55	7	1	43	47	31
Cluster_85	0	0	19	0	0	0	5	509	2	0	2	180	9	0	0	0	0	0	7	0	3	0	0	0	1	0
Cluster_100	0	0	55	0	0	0	5	6	39	56	7	2	20	65	0	0	0	0	54	0	0	0	0	0	0	0
Cluster_63	62	74	179	37	75	40	55	898	166	1164	95	562	155	618	487	414	456	437	123	39	469	34	14	546	606	289
Cluster_124	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0
Cluster_27	107	873	407	196	161	571	117	650	20	19	132	295	25	31	0	0	0	0	283	181	0	3	0	0	0	0
Cluster_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	877	723	0	0	0
Cluster_91	32	54	25	3	25	53	77	179	42	141	57	189	48	238	81	105	70	112	7	3	142	597	322	97	1200	713
Cluster_275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	13	14	0	0	14	425	408	16	18	6
Cluster_93	1	0	1	0	3	0	0	0	0	0	0	0	0	0	211	287	259	303	1	0	280	66	83	220	411	186
