cluster;AB WW_envt;AB BF_envt;AB BF_envt/BF;AB BF_envt/WW;AB BF/WW;AB J7/J14
Cluster_107;AB WW_envt;AB BF_envt;BF_envt;BF_envt;;
Cluster_226;AB WW_envt;AB BF_envt;BF_envt;;;
Cluster_109;AB WW_envt;;BF;WW;BF;J7
Cluster_159;AB WW_envt;;BF;WW;BF;J7
Cluster_61;AB WW_envt;;BF_envt;BF_envt;;
Cluster_93;AB WW_envt;;BF_envt;BF_envt;;
Cluster_71;AB WW_envt;;BF_envt;;;
Cluster_322;AB WW_envt;;;;;J7
Cluster_63;AB WW_envt;;;;;J7
Cluster_134;AB WW_envt;;;;;
Cluster_162;AB WW_envt;;;;;
Cluster_180;AB WW_envt;;;;;
Cluster_201;AB WW_envt;;;;;
Cluster_208;AB WW_envt;;;;;
Cluster_210;AB WW_envt;;;;;
Cluster_216;AB WW_envt;;;;;
Cluster_240;AB WW_envt;;;;;
Cluster_3;AB WW_envt;;;;;
Cluster_47;AB WW_envt;;;;;
Cluster_49;AB WW_envt;;;;;
Cluster_94;AB WW_envt;;;;;
Cluster_91;;AB BF_envt;BF_envt;BF_envt;;J7
Cluster_121;;AB BF_envt;BF_envt;BF_envt;;
Cluster_218;;AB BF_envt;BF_envt;BF_envt;;
Cluster_232;;AB BF_envt;BF_envt;BF_envt;;
Cluster_275;;AB BF_envt;BF_envt;BF_envt;;
Cluster_346;;AB BF_envt;BF_envt;BF_envt;;
Cluster_55;;AB BF_envt;BF_envt;BF_envt;;
Cluster_325;;AB BF_envt;;BF_envt;;
Cluster_62;;;BF;WW;WW;J14
Cluster_33;;;BF;WW;WW;
Cluster_59;;;BF;WW;WW;
Cluster_1;;;BF;WW;;J14
Cluster_111;;;BF;WW;;J7
Cluster_135;;;BF;WW;;J7
Cluster_17;;;BF;WW;;J14
Cluster_19;;;BF;WW;;J14
Cluster_31;;;BF;WW;;J14
Cluster_35;;;BF;WW;;J14
Cluster_52;;;BF;WW;;J14
Cluster_6;;;BF;WW;;J14
Cluster_7;;;BF;WW;;J7
Cluster_11;;;BF;WW;;
Cluster_110;;;BF;WW;;
Cluster_145;;;BF;WW;;
Cluster_147;;;BF;WW;;
Cluster_2;;;BF;WW;;
Cluster_20;;;BF;WW;;
Cluster_21;;;BF;WW;;
Cluster_25;;;BF;WW;;
Cluster_27;;;BF;WW;;
Cluster_30;;;BF;WW;;
Cluster_36;;;BF;WW;;
Cluster_4;;;BF;WW;;
Cluster_40;;;BF;WW;;
Cluster_45;;;BF;WW;;
Cluster_50;;;BF;WW;;
Cluster_67;;;BF;WW;;
Cluster_72;;;BF;WW;;
Cluster_74;;;BF;WW;;
Cluster_77;;;BF;WW;;
Cluster_85;;;BF;WW;;
Cluster_128;;;BF;;BF;
Cluster_81;;;BF;;BF;
Cluster_114;;;BF;;;J7
Cluster_23;;;BF_envt;;;J7
Cluster_100;;;BF;;;
Cluster_39;;;BF;;;
Cluster_43;;;;WW;WW;J14
Cluster_124;;;;WW;;
Cluster_126;;;;WW;;
Cluster_143;;;;WW;;
Cluster_171;;;;WW;;
Cluster_64;;;;WW;;
Cluster_75;;;;BF_envt;;
Cluster_87;;;;WW;;
Cluster_177;;;;;BF;J14
Cluster_26;;;;;WW;J7
Cluster_151;;;;;BF;
Cluster_51;;;;;WW;
Cluster_104;;;;;;J14
Cluster_120;;;;;;J14
Cluster_175;;;;;;J7
Cluster_24;;;;;;J7
Cluster_263;;;;;;J7
Cluster_279;;;;;;J14
Cluster_42;;;;;;J14
Cluster_56;;;;;;J14
Cluster_80;;;;;;J14
Cluster_82;;;;;;J14
