Genus;Species;cluster
Bacteroides;Multi-affiliation;Cluster_1
Acinetobacter;Acinetobacter xiamenensis;Cluster_100
Uliginosibacterium;Uliginosibacterium paludis;Cluster_10001
Acinetobacter;Acinetobacter defluvii;Cluster_1002
Aeromonas;Multi-affiliation;Cluster_100373
Acetobacteroides;unknown species;Cluster_10051
Hydrogenoanaerobacterium;Selenomonadales bacterium Marseille-P2399;Cluster_10054
unknown genus;metagenome;Cluster_10055
Dietzia;Multi-affiliation;Cluster_10065
Winogradskyella;Winogradskyella maritima;Cluster_100681
Pleomorphomonas;unknown species;Cluster_10079
Roseimarinus;unknown species;Cluster_1008
Libanicoccus;unknown species;Cluster_10082
Parabacteroides;unknown species;Cluster_10083
Christensenellaceae R-7 group;unknown species;Cluster_10085
Sphingomonas;Sphingomonas sp.;Cluster_10086
Aeromonas;unknown species;Cluster_10096
unknown genus;unknown species;Cluster_10122
Pedobacter;unknown species;Cluster_10133
RBG-16-49-21;Multi-affiliation;Cluster_1014
Syntrophomonas;unknown species;Cluster_10141
unknown genus;unknown species;Cluster_101470
RBG-16-49-21;Multi-affiliation;Cluster_1015
Aquicella;unknown species;Cluster_10154
unknown genus;unknown species;Cluster_1016
unknown genus;unknown species;Cluster_10161
Crocinitomix;unknown species;Cluster_10163
Aeromonas;Multi-affiliation;Cluster_10177
Anaerostignum;Clostridiaceae bacterium BEN9;Cluster_1018
unknown genus;metagenome;Cluster_10186
Aeromonas;Multi-affiliation;Cluster_101870
Nubsella;unknown species;Cluster_10189
Halomonas;unknown species;Cluster_1019
Pseudoflavitalea;Flavitalea soli;Cluster_10198
Clostridium sensu stricto 2;Clostridium frigidicarnis;Cluster_1020
Cellvibrio;Cellvibrio fontiphilus;Cluster_102010
Barnesiella;Barnesiella viscericola;Cluster_102100
Mogibacterium;unknown species;Cluster_10211
Nocardia;Nocardia coubleae;Cluster_10213
Multi-affiliation;Multi-affiliation;Cluster_10215
Sphingobacterium;Caenorhabditis elegans;Cluster_10235
Desulfovibrio;Multi-affiliation;Cluster_102451
Multi-affiliation;Multi-affiliation;Cluster_102454
Uruburuella;Multi-affiliation;Cluster_10248
Zoogloea;unknown species;Cluster_1025
Desulfovibrio;Desulfovibrio termitidis;Cluster_1026
Prevotellaceae Ga6A1 group;unknown species;Cluster_10263
unknown genus;unknown species;Cluster_10264
unknown genus;unknown species;Cluster_10265
Brevundimonas;Brevundimonas aveniformis;Cluster_10274
NK4A214 group;unknown species;Cluster_10281
Altererythrobacter;Altererythrobacter sp.;Cluster_10282
unknown genus;metagenome;Cluster_10288
Pseudochrobactrum;Multi-affiliation;Cluster_10291
Edaphobaculum;Multi-affiliation;Cluster_10296
Pectobacterium;Pectobacterium sp.;Cluster_1030
Marinagarivorans;gamma proteobacterium Y001;Cluster_103097
Bdellovibrio;unknown species;Cluster_10313
Kineosporia;unknown species;Cluster_10315
Flavobacterium;unknown species;Cluster_10318
Pleomorphomonas;Pleomorphomonas oryzae;Cluster_10326
Fusobacterium;Fusobacterium ulcerans;Cluster_10331
Aeromonas;Pseudaeromonas pectinilytica;Cluster_10332
Sneathia;Sneathia amnii;Cluster_103320
Christensenellaceae R-7 group;metagenome;Cluster_10335
Dokdonella;unknown species;Cluster_10336
unknown genus;unknown species;Cluster_10341
Diaphorobacter;Diaphorobacter oryzae;Cluster_10343
Testudinibacter;Testudinibacter aquarius;Cluster_1035
Propionicicella;Multi-affiliation;Cluster_10350
Minicystis;metagenome;Cluster_10351
