;Noms_R;ID_ech;Bioreacteur;Inoculum;Material;Day;Jour;Campaign;Camp_graph;Camp_graphique;Camp_Day_Mat;graphe_ATB;Camp_Day;Camp_Jour;campaign  ;Campagne  ;Dosage;FQ1;FQ2;ATB_type;Type_ATB;ATB_camp;ATB;;16S (log absolu);qnrA;qnrB;qnrC;qnrD;qnrS
DBIbiofilm100_GTCGGC-K37J4_L001;EJ14B3C11;100;B3;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;FQ2 high;Biofilm;H FQ2  ;H FQ2  ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;0;1;FQ2;FQ2;FQ2 E;1;;6.616102751;-5.833723821;-2.566160287;-6.674957053;-1.683725975;-4.744814971
DBIbiofilm101_TGTAAA-K37J4_L001;EJ14B4C11;101;B4;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;FQ1+FQ2 high;AJ07C;H FQ1+FQ2 ;H FQ1+FQ2 ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;1;1;FQ1+FQ2;FQ1+FQ2;FQ1+FQ2 E;2;;6.572111015;-2.109524068;-2.495310375;-6.630965317;-1.415513906;-4.604240203
DBIbiofilm102_CAGCGT-K37J4_L001;EJ14B1C12;102;B1;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;0 high;AJ14C;High 0 ;High 0 ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;0;0;Control;Témoin;Control E;0;;7.208696699;-5.044742948;-2.793115963;-7.267551001;-3.655441627;-4.347600511
DBIbiofilm103_GGATCA-K37J4_L001;EJ14B2C12;103;B2;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;FQ1 high;AJ14P;H FQ1 ;H FQ1 ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;1;0;FQ1;FQ1;FQ1 E;1;;7.804682855;-5.316720194;-3.753983979;-7.863537158;-3.109840191;-2.813689043
DBIbiofilm104_CCCCAT-K37J4_L001;EJ14B3C12;104;B3;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;FQ2 high;AJ14P;H FQ2  ;H FQ2  ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;0;1;FQ2;FQ2;FQ2 E;1;;6.880480578;-5.206587979;-2.638747515;-6.93933488;-2.938641874;-3.351979291
DBIbiofilm105_CCTCCC-K37J4_L001;EJ14B4C12;105;B4;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;FQ1+FQ2 high;AJ07C;H FQ1+FQ2 ;H FQ1+FQ2 ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;1;1;FQ1+FQ2;FQ1+FQ2;FQ1+FQ2 E;2;;6.291872616;-1.996077595;-7.229464568;-6.350726919;-2.479057269;-4.590270825
DBIbiofilm109_CCTGCT-K37J4_L001;FJ14B1C11 ;109;B1;Biofilm + Waste Water;C;Day 14;Jour 14;F;F;F;0 low;AJ07C;Low 0 ;Low 0 ;F (FQ at 2.5µg/L);F (FQ à 2.5µg/L);L;0;0;Control;Témoin;Control F;0;;7.54556696;-4.736234683;-2.188770238;-7.604421263;-1.882163797;-4.115807454
DBIbiofilm110_TTACTC-K37J4_L001;FJ14B2C11;110;B2;Biofilm + Waste Water;C;Day 14;Jour 14;F;F;F;FQ1 low;AJ07C;L FQ1 ;L FQ1 ;F (FQ at 2.5µg/L);F (FQ à 2.5µg/L);L;1;0;FQ1;FQ1;FQ1 F;1;;7.460920927;-4.481137634;-2.185772459;-7.51977523;-1.423271053;-3.517763141
DBIbiofilm111_ATTAGG-K37J4_L001;FJ14B3C11;111;B3;Biofilm + Waste Water;C;Day 14;Jour 14;F;F;F;FQ2 low;AJ07P;L FQ2 ;L FQ2 ;F (FQ at 2.5µg/L);F (FQ à 2.5µg/L);L;0;1;FQ2;FQ2;FQ2 F;1;;7.772760681;-4.956392775;-2.788450765;-7.831614984;-2.194087497;-4.076327576
DBIbiofilm112_GCCTAA-K37J4_L001;FJ14B4C11;112;B4;Biofilm + Waste Water;C;Day 14;Jour 14;F;F;F;FQ1+FQ2  low;AJ07P;L FQ1+FQ2 ;L FQ1+FQ2 ;F (FQ at 2.5µg/L);F (FQ à 2.5µg/L);L;1;1;FQ1+FQ2;FQ1+FQ2;FQ1+FQ2 F;2;;7.474098905;-3.245123028;-2.256310598;-7.532953207;-1.346416909;-3.481466729
DBIbiofilm113_AAAGCG-K37J4_L001;FJ14B1C12;113;B1;Biofilm + Waste Water;C;Day 14;Jour 14;F;F;F;0 low;AJ07P;Low 0 ;Low 0 ;F (FQ at 2.5µg/L);F (FQ à 2.5µg/L);L;0;0;Control;Témoin;Control F;0;;7.446683064;-4.854469623;-1.992060409;-7.505537366;-1.778869326;-4.171560077
