;STD6310;STD6300;STD6300_VD;STD6310_VD;protocol_6300;protocol_6310;ordre
169_Arcobacter sp.;0;0;0;8;0;0;1
63_Aliarcobacter cryaerophilus;0;0;1;21;0;0;2
375_Arcobacter faecis;0;0;0;1;0;0;3
153_Rikenellaceae sp.;0;0;0;2;0;0;4
167_Proteiniphilum sp.;0;0;0;2;0;0;5
204_Bacteroides uniformis;0;0;0;4;0;0;6
317_Cutibacterium acnes;0;14;0;0;0;0;7
367_metagenome;0;0;0;2;0;0;8
750_Undibacterium sp.;4;0;0;0;0;0;9
376_Comamonas sp.;0;0;0;3;0;0;10
207_Acidovorax sp.;0;0;0;3;0;0;11
301_Simplicispira sp.;0;0;0;2;0;0;12
295_Acinetobacter sp.;0;0;0;3;0;0;13
2_Pseudomonas aeruginosa;2145;546;521;2472;494.046;329.364;14
245_Aeromonas sp.;0;0;0;12;0;0;15
189_Serratia sp.;2;0;0;0;0;0;16
5_Escherichia coli;127;2610;2482;134;1188.063;8.11647;17
253_Escherichia coli;0;6;0;0;0;0;18
4_Salmonella enterica;127;3226;3018;139;1223.352;8.2341;19
422_Salmonella enterica;0;5;0;0;0;0;20
203_Christensenellaceae R-7 group;0;0;0;1;0;0;21
8_Staphylococcus aureus;19;468;410;0;0.0788121;0.011763;22
275_Listeria monocytogenes;3;1;0;5;0;0;23
1_Listeria monocytogenes;8922;389;219;8111;1658.583;11280.717;24
368_Listeria monocytogenes;0;1;0;0;0;0;25
7_Enterococcus faecalis;1;334;665;1;1823.265;0.788121;26
6_Limosilactobacillus fermentum;17;1508;1663;1;2164.392;1.41156;27
472_Limosilactobacillus fermentum;0;0;1;0;0;0;28
251_Bacillus subtilis;0;4;5;1;0;0;29
191_Bacillus subtilis;0;4;0;0;0;0;30
391_Bacillus subtilis;0;3;5;0;0;0;31
283_Bacillus subtilis;0;4;2;0;0;0;32
386_Bacillus subtilis;0;1;3;0;0;0;33
1807_Bacillus subtilis;0;6;0;0;0;0;34
264_Bacillus subtilis;0;2;3;0;0;0;35
373_Bacillus subtilis;0;2;3;0;0;0;36
3_Bacillus subtilis;394;2608;2762;823;2046.762;141.156;37
166_Bacillus subtilis;2;1;0;12;0;0;38
103_Bacillus subtilis;0;20;0;0;0;0;39
