	6310	6300	6300_VD	6310_VD	ordre
169_Arcobacter sp.	0	0	0	8	39
375_Arcobacter faecis	0	0	0	1	38
63_Aliarcobacter cryaerophilus	0	0	1	21	37
153_Rikenellaceae sp.	0	0	0	2	36
167_Proteiniphilum sp.	0	0	0	2	35
204_Bacteroides uniformis	0	0	0	4	34
317_Cutibacterium acnes	0	14	0	0	33
367_metagenome	0	0	0	2	32
750_Undibacterium sp.	4	0	0	0	31
376_Comamonas sp.	0	0	0	3	30
301_Simplicispira sp.	0	0	0	2	29
207_Acidovorax sp.	0	0	0	3	28
2_Pseudomonas aeruginosa	2145	546	521	2472	27
295_Acinetobacter sp.	0	0	0	3	26
189_Serratia sp.	2	0	0	0	25
245_Aeromonas sp.	0	0	0	12	24
422_Salmonella enterica	0	5	0	0	23
4_Salmonella enterica	127	3226	3018	139	22
253_Escherichia coli	0	6	0	0	21
5_Escherichia coli	127	2610	2482	134	20
203_Christensenellaceae R-7 group	0	0	0	1	19
8_Staphylococcus aureus	19	468	410	0	18
7_Enterococcus faecalis	1	334	665	1	17
472_Limosilactobacillus fermentum	0	0	1	0	16
6_Limosilactobacillus fermentum	17	1508	1663	1	15
275_Listeria monocytogenes	3	1	0	5	14
368_Listeria monocytogenes	0	1	0	0	13
1_Listeria monocytogenes	8922	389	219	8111	12
251_Bacillus subtilis	0	4	5	1	11
191_Bacillus subtilis	0	4	0	0	10
391_Bacillus subtilis	0	3	5	0	9
386_Bacillus subtilis	0	1	3	0	8
283_Bacillus subtilis	0	4	2	0	7
1807_Bacillus subtilis	0	6	0	0	6
373_Bacillus subtilis	0	2	3	0	5
264_Bacillus subtilis	0	2	3	0	4
3_Bacillus subtilis	394	2608	2762	823	3
103_Bacillus subtilis	0	20	0	0	2
166_Bacillus subtilis	2	1	0	12	1
