6310	6300	6300_VD	6310_VD
Cluster_211	0	0	0	1
Cluster_1	0	0	0	10
Cluster_39	0	0	2	0
Cluster_138	0	0	2	0
Cluster_33	133	3643	3345	114
Cluster_24	0	648	371	1
Cluster_21	2	15	32	0
Cluster_28	135	2508	2501	118
Cluster_152	4	0	0	0
Cluster_7	0	0	0	4
Cluster_251	1	0	0	0
Cluster_68	0	0	0	1
Cluster_26	2325	536	518	2686
Cluster_100	0	0	0	4
Cluster_265	0	0	0	1
Cluster_12	0	0	3	0
Cluster_125	0	0	1	0
Cluster_447	0	0	0	3
Cluster_72	1	286	620	1
Cluster_65	0	0	1	0
Cluster_8	9582	380	197	8671
Cluster_442	3	51	21	46
Cluster_664	0	37	12	0
Cluster_571	0	110	78	0
Cluster_50	17	1416	1625	4
Cluster_472	1	50	45	62
Cluster_29	413	2465	2775	871
Cluster_709	0	23	74	0
Cluster_131	20	469	408	0
Cluster_4	0	0	2	0
Cluster_163	0	0	1	0
Cluster_53	0	0	0	1
Cluster_78	0	0	0	11
Cluster_3	0	0	3	25
Cluster_226	0	0	0	2
