6310	6300	6300_VD	6310_VD
Cluster_211	0	0	0	9
Cluster_632	0	0	0	0
Cluster_1	0	0	0	22
Cluster_379	0	0	0	0
Cluster_291	0	0	0	0
Cluster_665	0	0	0	0
Cluster_390	0	0	0	0
Cluster_385	0	0	0	0
Cluster_547	0	0	0	0
Cluster_565	0	0	0	0
Cluster_139	0	0	0	0
Cluster_188	0	0	0	0
Cluster_523	0	0	0	0
Cluster_45	0	0	0	0
Cluster_613	0	0	0	0
Cluster_186	0	0	0	0
Cluster_286	0	0	0	0
Cluster_264	0	0	0	0
Cluster_477	0	0	0	0
Cluster_82	0	0	0	0
Cluster_362	0	0	0	0
Cluster_698	0	0	0	0
Cluster_318	0	0	0	0
Cluster_326	0	0	0	0
Cluster_739	0	0	0	0
Cluster_650	0	0	0	0
Cluster_548	0	0	0	0
Cluster_745	0	0	0	0
Cluster_556	0	0	0	0
Cluster_871	0	0	0	0
Cluster_430	0	0	0	0
Cluster_39	0	0	1	0
Cluster_14	0	0	0	0
Cluster_32	0	0	0	0
Cluster_397	0	0	0	0
Cluster_310	0	0	0	0
Cluster_593	0	0	0	0
Cluster_178	0	0	0	0
Cluster_1053	0	0	0	0
Cluster_84	0	0	0	0
Cluster_409	0	0	0	0
Cluster_114	0	0	0	0
Cluster_233	0	0	0	0
Cluster_97	0	0	0	0
Cluster_445	0	0	0	0
Cluster_246	0	0	0	0
Cluster_270	0	0	0	0
Cluster_676	0	0	0	0
Cluster_821	0	0	0	0
Cluster_138	0	0	2	0
Cluster_355	0	0	0	0
Cluster_306	0	0	0	0
Cluster_347	0	0	0	0
Cluster_57	0	0	0	0
Cluster_335	0	0	0	0
Cluster_770	0	0	0	0
Cluster_755	0	0	0	0
Cluster_927	0	0	0	0
Cluster_480	0	0	0	0
Cluster_339	0	0	0	0
Cluster_391	0	0	0	0
Cluster_956	0	0	0	0
Cluster_597	0	0	0	0
Cluster_241	0	0	0	0
Cluster_460	0	0	0	0
Cluster_33	230	3688	6209	286
Cluster_1064	0	0	0	0
Cluster_24	0	0	0	0
Cluster_808	0	0	0	0
Cluster_21	1	16	54	1
Cluster_64	0	0	0	0
Cluster_38	0	0	0	0
Cluster_441	0	0	0	0
Cluster_204	0	0	0	0
Cluster_206	0	0	0	0
Cluster_81	0	0	0	0
Cluster_1255	0	0	0	0
Cluster_69	0	0	0	0
Cluster_157	0	0	0	0
Cluster_67	0	0	0	0
Cluster_117	0	0	0	0
Cluster_35	0	0	0	0
Cluster_28	220	2462	4680	356
Cluster_259	0	0	0	0
Cluster_152	7	0	0	0
Cluster_61	0	0	0	0
Cluster_1242	0	0	0	0
Cluster_150	0	0	0	0
Cluster_272	0	0	0	0
Cluster_633	0	0	0	0
Cluster_116	0	0	0	0
Cluster_598	0	0	0	0
Cluster_530	0	0	0	0
Cluster_759	0	0	0	0
Cluster_1146	0	0	0	0
Cluster_121	0	0	0	0
Cluster_865	0	0	0	0
Cluster_7	0	661	756	22
Cluster_1696	0	0	0	0
Cluster_1687	0	0	0	0
Cluster_1774	0	0	0	0
Cluster_1907	0	0	0	0
Cluster_791	0	0	0	0
Cluster_164	0	0	0	0
Cluster_456	0	0	0	0
Cluster_558	0	0	0	0
Cluster_1024	0	0	0	0
Cluster_331	0	0	0	0
Cluster_251	4	0	0	0
Cluster_555	0	0	0	0
Cluster_883	0	0	0	0
Cluster_726	0	0	0	0
Cluster_68	0	0	0	8
Cluster_437	0	0	0	0
Cluster_328	0	0	0	0
Cluster_346	0	0	0	0
Cluster_201	0	0	0	0
Cluster_129	0	0	0	0
Cluster_183	0	0	0	0
Cluster_92	0	0	0	0
Cluster_31	0	0	0	0
Cluster_106	0	0	0	0
Cluster_1208	0	0	0	0
Cluster_457	0	0	0	0
Cluster_730	0	0	0	0
Cluster_412	0	0	0	0
Cluster_422	0	0	0	0
Cluster_603	0	0	0	0
Cluster_747	0	0	0	0
Cluster_26	4316	549	1001	7142
Cluster_51	0	0	0	0
Cluster_582	0	0	0	0
Cluster_296	0	0	0	0
Cluster_406	0	0	0	0
Cluster_627	0	0	0	0
Cluster_1056	0	0	0	0
Cluster_675	0	0	0	0
Cluster_819	0	0	0	0
Cluster_30	0	0	0	0
Cluster_532	0	0	0	0
Cluster_413	0	0	0	3
Cluster_213	0	0	0	0
Cluster_88	0	0	0	6
Cluster_262	0	0	0	0
Cluster_543	0	0	0	0
Cluster_363	0	0	0	0
Cluster_119	0	0	0	0
Cluster_444	0	0	0	0
Cluster_611	0	0	0	0
Cluster_133	0	0	0	0
Cluster_279	0	0	0	0
Cluster_658	0	0	0	0
Cluster_415	0	0	0	0
Cluster_190	0	0	0	0
Cluster_484	0	0	0	5
Cluster_549	0	0	1	0
Cluster_338	0	0	0	0
Cluster_474	0	0	0	0
Cluster_403	0	0	0	0
Cluster_371	0	0	0	0
Cluster_952	0	0	0	0
Cluster_209	0	0	0	0
Cluster_850	0	0	0	0
Cluster_512	0	0	0	0
Cluster_836	0	0	0	0
Cluster_1015	0	0	0	0
Cluster_980	0	0	0	0
Cluster_307	0	0	0	0
Cluster_551	0	0	0	0
Cluster_704	0	0	0	0
Cluster_235	0	0	0	0
Cluster_674	0	0	0	0
Cluster_666	0	0	0	0
Cluster_546	0	0	0	0
Cluster_158	0	0	0	0
Cluster_432	0	0	0	0
Cluster_1047	0	0	0	0
Cluster_648	0	0	0	0
Cluster_434	0	0	0	4
Cluster_498	0	0	0	0
Cluster_575	0	0	0	0
Cluster_439	0	0	0	0
Cluster_482	0	0	0	0
Cluster_293	0	0	0	0
Cluster_265	0	0	0	5
Cluster_258	0	0	0	0
Cluster_516	0	0	0	0
Cluster_170	0	0	0	0
Cluster_130	0	0	0	0
Cluster_563	0	0	0	0
Cluster_74	0	0	0	0
Cluster_327	0	0	0	0
Cluster_510	0	0	0	0
Cluster_148	0	0	0	0
Cluster_140	0	0	0	0
Cluster_324	0	0	0	0
Cluster_594	0	0	0	0
Cluster_109	0	0	0	0
Cluster_179	0	0	0	0
Cluster_210	0	0	0	0
Cluster_541	0	0	0	0
Cluster_184	0	0	0	0
Cluster_377	0	0	0	0
Cluster_79	0	0	0	0
Cluster_476	0	0	0	0
Cluster_509	0	0	0	0
Cluster_191	0	0	0	0
Cluster_111	0	0	0	0
Cluster_18	0	0	0	0
Cluster_644	0	0	0	0
Cluster_743	0	0	0	0
Cluster_588	0	0	0	0
Cluster_429	0	0	0	0
Cluster_463	0	0	0	0
Cluster_12	0	0	2	0
Cluster_47	0	0	0	0
Cluster_405	0	0	0	0
Cluster_125	0	0	1	0
Cluster_861	0	0	0	0
Cluster_41	0	0	0	0
Cluster_49	0	0	0	0
Cluster_495	0	0	0	0
Cluster_568	0	0	0	0
Cluster_134	0	0	0	0
Cluster_701	0	0	0	0
Cluster_228	0	0	0	0
Cluster_513	0	0	0	0
Cluster_719	0	0	0	0
Cluster_447	0	0	0	8
Cluster_664	0	38	25	1
Cluster_571	0	94	135	0
Cluster_50	33	1428	3059	8
Cluster_8	17505	400	393	22805
Cluster_442	2	55	32	138
Cluster_472	4	50	58	175
Cluster_29	770	2421	5233	2481
Cluster_709	0	35	130	0
Cluster_131	27	459	797	0
Cluster_56	0	0	0	0
Cluster_65	0	0	1	0
Cluster_72	1	281	1217	3
Cluster_1497	0	0	0	0
Cluster_425	0	0	0	0
Cluster_370	0	0	0	0
Cluster_34	0	0	0	0
Cluster_94	0	0	0	0
Cluster_269	0	0	0	0
Cluster_504	0	0	0	0
Cluster_27	0	0	0	0
Cluster_544	0	0	0	0
Cluster_351	0	0	0	0
Cluster_612	0	0	0	0
Cluster_127	0	0	0	0
Cluster_446	0	0	0	0
Cluster_638	0	0	0	0
Cluster_156	0	0	0	0
Cluster_80	0	0	0	0
Cluster_359	0	0	0	0
Cluster_261	0	0	0	0
Cluster_162	0	0	0	0
Cluster_587	0	0	0	0
Cluster_297	0	0	0	0
Cluster_367	0	0	0	0
Cluster_227	0	0	0	0
Cluster_85	0	0	0	0
Cluster_706	0	0	0	0
Cluster_220	0	0	0	0
Cluster_651	0	0	0	0
Cluster_319	0	0	0	0
Cluster_58	0	0	0	0
Cluster_392	0	0	0	0
Cluster_199	0	0	0	0
Cluster_517	0	0	0	0
Cluster_40	0	0	0	0
Cluster_586	0	0	0	0
Cluster_46	0	0	0	0
Cluster_87	0	0	0	0
Cluster_1042	0	0	0	0
Cluster_777	0	0	0	0
Cluster_671	0	0	0	0
Cluster_691	0	0	0	0
Cluster_1014	0	0	0	0
Cluster_202	0	0	0	0
Cluster_386	0	0	0	0
Cluster_147	0	0	0	0
Cluster_622	0	0	0	0
Cluster_396	0	0	0	0
Cluster_153	0	0	0	0
Cluster_408	0	0	0	0
Cluster_168	0	0	0	1
Cluster_248	0	0	0	0
Cluster_486	0	0	0	0
Cluster_416	0	0	0	0
Cluster_595	0	0	0	0
Cluster_93	0	0	0	0
Cluster_207	0	0	0	0
Cluster_166	0	0	0	0
Cluster_569	0	0	0	0
Cluster_62	0	0	0	0
Cluster_604	0	0	0	0
Cluster_591	0	0	0	0
Cluster_707	0	0	0	0
Cluster_497	0	0	0	0
Cluster_534	0	0	0	0
Cluster_22	0	0	0	0
Cluster_142	0	0	0	0
Cluster_4	0	0	2	0
Cluster_20	0	0	0	0
Cluster_5	0	0	0	0
Cluster_135	0	0	0	0
