;STD6310;STD6300;STD6300_VD;STD6310_VD
209_Prevotella sp.;0;0;0;9
204_Bacteroides uniformis;0;0;0;22
167_Proteiniphilum sp.;0;0;0;10
153_Rikenellaceae sp.;0;0;0;9
169_Arcobacter sp.;0;0;0;23
63_Aliarcobacter cryaerophilus;0;0;6;77
375_Arcobacter faecis;0;0;0;5
1807_Bacillus subtilis;0;8;2;0
3_Bacillus subtilis;798;2553;5310;2512
166_Bacillus subtilis;1;1;0;20
103_Bacillus subtilis;0;14;11;0
264_Bacillus subtilis;0;2;6;0
373_Bacillus subtilis;0;4;2;0
391_Bacillus subtilis;0;3;7;0
283_Bacillus subtilis;0;3;3;0
386_Bacillus subtilis;0;1;5;0
191_Bacillus subtilis;0;12;1;3
251_Bacillus subtilis;0;7;3;1
275_Listeria monocytogenes;2;1;0;6
1_Listeria monocytogenes;17516;410;395;22825
368_Listeria monocytogenes;0;1;0;4
7_Enterococcus faecalis;1;314;1296;3
6_Limosilactobacillus fermentum;33;1502;3104;8
472_Limosilactobacillus fermentum;0;1;4;0
8_Staphylococcus aureus;29;492;826;0
203_Christensenellaceae R-7 group;0;0;0;8
367_metagenome;0;0;0;5
376_Comamonas sp.;0;0;0;5
207_Acidovorax sp.;0;0;0;9
301_Simplicispira sp.;0;0;0;5
750_Undibacterium sp.;8;0;0;2
5_Escherichia coli;224;2573;4700;357
253_Escherichia coli;0;6;0;0
4_Salmonella enterica;244;3270;5770;316
422_Salmonella enterica;0;5;0;0
245_Aeromonas sp.;0;0;0;20
189_Serratia sp.;7;0;0;0
295_Acinetobacter sp.;0;0;0;5
2_Pseudomonas aeruginosa;4289;567;1025;7132
317_Cutibacterium acnes;3;13;0;0
