r;e;c;o;f;genre;species;cluster;nb_sq;STD6310;STD6300;STD6300_VDU;STD6310_VDU
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Cluster_33;17362;230;3688;6209;286
Bacteria;Proteobacteria;Gammaproteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Cluster_28;59936;4536;3540;6285;7498
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Multi-affiliation;Cluster_29;11765;770;2421;5233;2481
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Multi-affiliation;Cluster_50;5011;33;1428;3059;8
Bacteria;Firmicutes;Bacilli;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Cluster_131;1587;27;459;797;0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Multi-affiliation;Cluster_8;42626;17505;400;393;22805
Bacteria;Firmicutes;Bacilli;Lactobacillales;Multi-affiliation;Multi-affiliation;Multi-affiliation;Cluster_72;3207;1;281;1217;3
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sp.;Cluster_24;33416;0;132;150;1
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Multi-affiliation;Cluster_571;244;0;94;135;0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Brochothrix sp.;Cluster_442;279;2;55;32;138
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Fermentibacillus polygoni;Cluster_472;294;4;50;58;175
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Multi-affiliation;Cluster_664;168;0;38;25;1
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Multi-affiliation;Cluster_709;174;0;35;130;0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Multi-affiliation;Multi-affiliation;Cluster_21;74331;1;16;54;1
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Multi-affiliation;Multi-affiliation;Cluster_3;125584;0;0;6;88
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation;Cluster_7;436652;7;0;2;21
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation;Cluster_1;88621;0;0;0;22
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Proteocatella;unknown species;Cluster_4;101228;0;0;2;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Multi-affiliation;Multi-affiliation;Cluster_12;35296;0;0;2;0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Acetobacteroides;unknown species;Cluster_39;7178;0;0;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Multi-affiliation;Cluster_68;33514;0;0;0;8
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Multi-affiliation;Multi-affiliation;Cluster_53;12035;0;0;0;24
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Multi-affiliation;Multi-affiliation;Cluster_65;3829;0;0;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation;Cluster_88;20822;0;0;0;6
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Multi-affiliation;Multi-affiliation;Cluster_226;1941;0;0;0;5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;Multi-affiliation;Cluster_125;1816;0;0;1;0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Multi-affiliation;Multi-affiliation;Cluster_211;6594;0;0;0;9
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium;Multi-affiliation;Cluster_138;1370;0;0;2;0
Bacteria;Firmicutes;Clostridia;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Cluster_168;5357;0;0;0;1
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Multi-affiliation;Cluster_163;964;0;0;4;0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Multi-affiliation;Cluster_218;1308;0;0;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Multi-affiliation;Multi-affiliation;Cluster_413;631;0;0;0;3
Bacteria;Proteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Cluster_251;549;4;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Aquaspirillaceae;Rivicola;metagenome;Cluster_265;466;0;0;0;5
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira;unknown species;Cluster_484;243;0;0;0;5
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;Multi-affiliation;Cluster_447;484;0;0;0;8
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Zoogloea;Multi-affiliation;Cluster_434;220;0;0;0;4
