species;STD6300;STD6300_VD;STD6310;STD6310_VD
Salmonella enterica;3688;6209;230;286
Escherichia coli;3540;6285;4536;7498
Bacillus subtilis/Bacillus haloterans;2421;5233;770;2481
Limosilactobacillus fermentum;1428;3059;33;8
Staphylococcus aureus;459;797;27;0
Listeria monocytogenes;400;393;17505;22805
Enterococcus faecalis;281;1217;1;3
Enterobacter sp.;132;150;0;1
Bacillus sp.;94;135;0;0
Brochothrix sp.;55;32;2;138
Fermentibacillus polygoni;50;58;4;175
Listeria monocytogenes/uncultured Lactobacillus;38;25;0;1
Bacillus mojavensis/subtilis;35;130;0;0
Cirocbacter freundii;16;54;1;1
Aliarcobacter cryaerophilus;0;6;0;88
Aeromonas cavernicola/allosaccharophila;0;2;7;21
Bacteroides sp.;0;0;0;22
unknown species;0;2;0;0
Pseudochrobactrum sp.;0;2;0;0
unknown species;0;1;0;0
Acinetobacter johnsonii;0;0;0;8
Arcobacter cloacea;0;0;0;24
Trichococcus flocculiformis;0;1;0;0
Comamonas jiangduensis;0;0;0;6
Acinetobacter faecis;0;0;0;5
Ochrobactrum sp./Brucella sp.;0;1;0;0
Prevotella copri;0;0;0;9
Cloacibacterium normanense;0;2;0;0
Faecalibacterium prausnitzii;0;0;0;1
UB (Leptotrichia);0;4;0;0
Bifidobacterium faecale;0;1;0;0
Janthinobacterium lividum;0;0;0;3
Moraxella oslensis;0;0;4;0
metagenome;0;0;0;5
unknown species;0;0;0;5
UB;0;0;0;8
Zoogloea oleivorans;0;0;0;4
metagenome;0;1;0;0
