#comment	blast_taxonomy	seed_id	taxonomy	observation_name	observation_sum	DBIbiofilm100_GTCGGC-K37J4_L001	DBIbiofilm101_TGTAAA-K37J4_L001	DBIbiofilm102_CAGCGT-K37J4_L001	DBIbiofilm103_GGATCA-K37J4_L001	DBIbiofilm104_CCCCAT-K37J4_L001	DBIbiofilm105_CCTCCC-K37J4_L001	DBIbiofilm109_CCTGCT-K37J4_L001	DBIbiofilm10_CTAGTC-K37J4_L001	DBIbiofilm110_TTACTC-K37J4_L001	DBIbiofilm111_ATTAGG-K37J4_L001	DBIbiofilm112_GCCTAA-K37J4_L001	DBIbiofilm113_AAAGCG-K37J4_L001	DBIbiofilm114_TTGCTA-K37J4_L001	DBIbiofilm115_TCTTCT-K37J4_L001	DBIbiofilm116_CTACTA-K37J4_L001	DBIbiofilm118_GGCTTG-K37J4_L001	DBIbiofilm119_TGCGCT-K37J4_L001	DBIbiofilm120_ACGATC-K37J4_L001	DBIbiofilm121_CGCTCT-K37J4_L001	DBIbiofilm122_GATAGA-K37J4_L001	DBIbiofilm55x4_AGATAG-K37J4_L001	DBIbiofilm98_CCGTCA-K37J4_L001	DBIbiofilm99_CATCCT-K37J4_L001	DBIbiofilm9_TATCAT-K37J4_L001	VD-DBIbiofilm-ech34_TCCATT-JNFP8_L001	VD-DBIbiofilm-ech54_ACCTCA-JNFP8_L001	VD-DBIbiofilm-ech55_CCCGAG-JNFP8_L001	VD-DBIbiofilm-ech55bis_GGACGG-JNFP8_L001	VD-DBIbiofilm-ech56_GGTATA-JNFP8_L001	VD-DBIbiofilm-ech57_GTGCTG-JNFP8_L001	VD-DBIbiofilm-ech58_CCCTCC-JNFP8_L001	VD-DBIbiofilm-ech60_GAGAAC-JNFP8_L001	VD-DBIbiofilm-ech61_TGGTGT-JNFP8_L001	VD-DBIbiofilm-ech62_AAACAA-JNFP8_L001	VD-DBIbiofilm-ech63_AGGGAT-JNFP8_L001	VD-DBIbiofilm-ech64_TGCGGG-JNFP8_L001	VD-DBIbiofilm-ech65_TCTATG-JNFP8_L001	VD-DBIbiofilm-ech68_GCAATA-JNFP8_L001	VD-DBIbiofilm-ech69_CAATTA-JNFP8_L001	VD-DBIbiofilm-ech70_CAATGC-JNFP8_L001	VD-DBIbiofilm-ech71_TGTTCG-JNFP8_L001	VD-DBIbiofilm-ech72_CCAACA-JNFP8_L001	VD-DBIbiofilm-ech73_CTACCG-JNFP8_L001	VD-DBIbiofilm-ech74_TCGTTC-JNFP8_L001	VD-DBIbiofilm-ech75_GCGATG-JNFP8_L001	VD-DBIbiofilm-ech76_ATATAA-JNFP8_L001	VD-DBIbiofilm-ech77_ATACTG-JNFP8_L001	VD-DBIbiofilm-ech78_GGAGAG-JNFP8_L001	VD-DBIbiofilm-ech79_ACGAGA-JNFP8_L001	VD-DBIbiofilm-ech80_ATTACA-JNFP8_L001	VD-DBIbiofilm-ech81_TGATTT-JNFP8_L001	VD-DBIbiofilm-ech82_GGGGTG-JNFP8_L001	VD-DBIbiofilm-ech83_ACAAAA-JNFP8_L001	VD-DBIbiofilm-ech84_CTCCAG-JNFP8_L001	VD-DBIbiofilm-ech85_GGTGTT-JNFP8_L001	VD-DBIbiofilm-ech86_CGGGAG-JNFP8_L001	VD-DBIbiofilm-ech87_TGGTAG-JNFP8_L001	VD-DBIbiofilm-ech90_AACCGA-JNFP8_L001	VD-DBIbiofilm-ech91_GGCAAT-JNFP8_L001	VD-DBIbiofilm-ech92_CCTTGA-JNFP8_L001	VD-DBIbiofilm-ech93_GTTTCT-JNFP8_L001	VD-DBIbiofilm-ech94_ACACGC-JNFP8_L001	VD-DBIbiofilm-ech95_GTGGGG-JNFP8_L001	VD-DBIbiofilm-ech96_CACCCA-JNFP8_L001
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1113:11098:1350	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	Cluster_6	426497	855	2149	1032	2402	1111	2228	4539	0	2621	2751	4861	3903	3103	4056	4756	0	868	1059	1140	1535	121	963	4399	0	15018	3137	184	121	3471	1956	3124	16197	6466	5812	10357	1	21	21571	22431	26415	11962	14455	15233	8796	3944	5277	3774	7083	10265	16300	24640	16655	18802	10601	11871	8239	11046	4184	7160	10076	4809	4082	4881	5628
	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:11362:1463	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Multi-affiliation;Multi-affiliation	Cluster_1	121694	7574	566	965	3342	5171	759	1422	0	1639	48	2262	548	2453	108	1942	0	4420	5171	4860	5298	21	422	3744	0	163	12133	43	33	17699	5255	14136	3241	75	42	91	6	88	1124	1745	6135	444	283	318	705	164	375	2509	852	378	125	165	68	136	42	21	7	61	31	49	118	31	36	10	22
	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Proteocatella;unknown species	M01945:370:000000000-K37J4:1:1101:13084:1626	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Proteocatella;unknown species	Cluster_7	101512	5179	3227	2831	4234	6430	2299	0	0	0	0	0	0	0	0	0	0	8	3	13	16	0	3464	7919	0	7359	30	4	0	42	88	86	13819	3767	1	13	2	0	12740	5125	2521	162	63	76	1037	4995	941	3568	879	71	4062	0	25	0	95	4	0	0	4293	0	0	12	9	0	0
	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:14771:3259	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Multi-affiliation	Cluster_3	80898	254	282	358	106	401	113	262	0	1699	2366	999	375	1604	2997	826	0	0	0	0	1	0	313	226	0	4109	1	0	2	1	2	1	2557	1762	1884	2723	0	0	1598	1687	1349	1361	3466	4068	2416	366	1465	526	2802	1371	694	563	701	526	1922	2799	2710	2955	1168	4148	823	2812	3866	4451	2061
	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:12038:1651	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation	Cluster_4	89185	678	39	397	117	680	56	656	0	1599	974	1457	1217	1469	1428	881	0	308	304	268	307	3	527	233	0	7684	1460	16	2	1449	338	663	1869	1286	5933	3763	0	22	4960	1722	853	959	3892	3819	1768	1350	1853	1804	2908	2419	904	326	250	215	1842	1484	1150	994	1974	3326	779	1621	3348	2658	1924
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:13096:11894	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Multi-affiliation;Multi-affiliation	Cluster_15	73354	90	118	385	77	177	118	2068	1	1455	668	715	2043	1694	759	555	1	32	32	22	42	9	371	93	15	3514	88	23	6	99	31	21	2071	347	749	2001	49	1	3008	2364	2358	1190	1590	2587	1270	666	1007	494	1679	2446	2165	2526	2718	2375	2551	2783	2043	2357	1099	1001	3191	558	1697	1065	4026
	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:17881:1440	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Multi-affiliation	Cluster_8	105408	478	246	697	512	501	248	3634	0	3875	3554	2503	3744	4588	5588	1158	0	3	4	11	10	216	743	975	0	9129	34	490	535	24	35	22	2133	3994	5338	6867	0	0	2392	1496	1183	229	1245	2688	790	1782	2412	2492	2927	1960	714	586	507	448	808	682	478	766	2532	1545	4314	1822	1893	1500	3328
	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Acetoanaerobium;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:21130:2441	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Acetoanaerobium;Multi-affiliation	Cluster_9	55371	981	6407	527	1277	527	7579	0	0	3	3	0	0	2	6	0	0	13	13	23	17	0	280	600	0	1	39	0	8	50	84	29	2830	19698	230	1	0	0	1956	852	3665	381	13	1	38	1866	438	3593	50	11	14	5	2	535	0	0	0	1	7	3	180	531	1	0	0
	Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:17349:1251	Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Multi-affiliation	Cluster_10	42699	0	0	0	0	0	0	0	17519	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	406	0	1	0	0	0	0	0	1470	57	0	4	397	22814	0	0	0	0	0	0	0	5	0	6	1	0	0	0	0	0	6	0	0	0	1	1	0	1	2	0	6
	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1103:27888:8222	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Multi-affiliation;Multi-affiliation	Cluster_12	37113	14	3	37	0	12	0	5	0	133	20	2	7	45	25	0	0	1	0	0	0	1	37	0	0	61	3	6	0	3	2	1	11891	3119	5858	502	1	0	89	134	231	10773	141	589	265	152	354	36	250	1470	0	1	2	2	0	3	57	213	31	203	19	71	78	13	147
	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5	M01945:370:000000000-K37J4:1:1102:5883:11406	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5	Cluster_11	37108	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	23622	1	89	20	0	0	0	333	3	0	17	0	0	20	171	138	0	0	472	18	6	49	102	0	0	2182	922	31	4	578	23	3	1	5090	1	2943	77	87	85	3
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica	M01945:370:000000000-K37J4:1:2101:19985:7272	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica	Cluster_20	37052	1	0	92	1	2	2	1266	243	98	59	139	2605	99	76	82	119	10	23	26	32	5	106	6	3904	902	74	569	2	53	12	10	986	246	134	952	6411	322	998	695	805	573	701	1741	722	153	438	393	1048	792	499	424	232	332	1225	1232	652	1129	394	533	245	121	595	279	432
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Multi-affiliation	M01945:370:000000000-K37J4:1:1104:15994:1507	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Multi-affiliation	Cluster_14	34615	0	0	46	1	0	0	32	0	55	40	3	31	59	74	6	0	2	6	4	9	2	48	1	0	2294	32	0	4	40	1	10	378	31	55	392	0	0	1646	652	680	237	1040	1108	560	240	178	209	830	1069	1191	1115	779	870	2498	3029	2634	4240	620	815	793	193	829	1075	1829
	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae;Telmatospirillum;unknown species	M01945:370:000000000-K37J4:1:1101:2803:17448	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae;Telmatospirillum;unknown species	Cluster_16	31688	27	23	65	34	31	32	1021	0	112	333	508	753	136	521	288	0	0	0	0	0	0	34	76	0	5106	0	0	0	0	2	0	219	428	776	4557	0	0	188	184	93	3	166	209	24	248	1308	243	793	1320	80	173	118	130	47	21	40	39	860	1376	1285	774	2280	2257	2347
	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Multi-affiliation	M01945:370:000000000-K37J4:1:1102:27959:6951	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Multi-affiliation	Cluster_35	20169	296	283	213	176	327	202	27	0	228	85	28	46	189	126	8	0	0	1	0	3	0	366	249	0	6753	3	0	0	1	4	0	37	687	450	755	0	0	109	186	111	1	79	311	107	240	724	319	473	329	76	49	1	3	61	35	13	55	1982	674	490	468	710	774	246
	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Multi-affiliation	M01945:370:000000000-K37J4:1:1102:6439:13009	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Multi-affiliation	Cluster_19	18968	6	0	86	0	19	0	3	0	114	103	480	0	166	205	77	0	0	0	0	0	0	59	5	0	12049	0	0	0	0	0	0	0	10	3	111	0	0	6	7	0	0	77	48	0	39	239	33	25	154	48	40	15	0	188	151	6	1	2896	39	335	382	420	277	46
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:6806:9440	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Multi-affiliation;Multi-affiliation	Cluster_34	19602	0	0	31	0	3	0	351	0	408	109	359	241	336	110	280	0	4	7	5	12	3	29	0	0	415	40	7	2	33	16	13	512	928	2308	397	0	0	1006	378	366	724	678	834	386	382	146	108	341	1444	510	314	151	228	1211	791	421	391	166	351	134	135	435	260	352
	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;unknown family;JTB215;bacterium str. 77003	M01764:248:000000000-JNFP8:1:1107:10002:9517	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;unknown family;JTB215;bacterium str. 77003	Cluster_22	16986	0	0	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	8	0	678	0	0	1098	893	0	14	6849	2239	0	724	610	1	0	2543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter rudis CIP 110305	M01945:370:000000000-K37J4:1:1101:11921:8769	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter rudis CIP 110305	Cluster_21	16248	159	1349	407	226	237	846	159	0	1042	32	36	261	455	36	30	0	0	0	0	0	0	278	324	0	153	0	1	0	0	0	0	1103	18	22	15	0	0	1135	60	242	574	952	61	468	748	23	54	120	938	39	50	265	203	78	170	521	772	60	392	89	608	164	67	206
	Bacteria;Proteobacteria;Gammaproteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1107:22266:18907	Bacteria;Proteobacteria;Gammaproteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	Cluster_23	48065	56	101	31	7	45	84	122	4569	301	59	258	87	322	105	268	959	102	148	111	186	571	12	6	3142	924	703	1913	2966	560	2879	2361	1640	186	75	498	5723	7508	565	837	560	866	251	932	319	126	250	100	286	616	191	320	216	231	170	247	182	436	67	135	151	48	105	138	132
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1102:13074:5571	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	Cluster_31	22023	34	193	25	200	40	146	378	0	311	326	454	295	294	565	331	0	1	0	2	2	1	15	284	0	1466	5	0	0	5	2	4	314	24	64	1158	0	0	346	430	624	337	254	564	305	73	376	129	923	552	408	769	451	524	616	1024	561	740	224	1930	309	533	407	638	1037
	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Multi-affiliation	M01945:370:000000000-K37J4:1:1104:13297:13489	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Multi-affiliation	Cluster_26	24399	66	25	239	16	95	13	29	0	55	17	47	56	22	17	10	0	5	8	3	4	0	274	28	0	1166	18	0	0	39	32	24	78	261	261	2452	0	0	428	366	274	119	2542	1355	618	55	804	389	2098	972	183	21	66	36	1612	427	996	540	411	1513	79	689	1471	385	590
