species;cluster;nb_sq;STD6310;STD6300;STD6300_VDU;STD6310_VDU
Aliarcobacter cryaerophilus;1;121694;0;0;6;88
unknown species;7;101512;0;0;2;0
Bacteroides sp.;4;89185;0;0;0;22
Cirocbacter freundii;15;73354;1;15;49;1
Listeria monocytogenes;10;42699;17519;406;397;22814
Pseudochrobactrum sp.;12;37113;0;0;1;0
Salmonella enterica;20;37052;243;3904;6411;322
Escherichia coli;23;48065;4569;3142;5723;7508
Bacillus subtilis;27;12120;800;2588;5334;2530
Arcobacter cloacae/defluvii;47;15615;0;0;0;22
Acinetobacter xiamenensis;44;35788;0;0;0;9
unknown species;38;7312;0;0;1;0
Limosilactobacillus fermentum;54;5140;33;1501;3113;8
Trichococcus flocculiformis;64;3894;0;0;1;0
Prevotella copri;126;7129;0;0;0;9
Comamonas tetosteroni;77;22333;0;0;0;5
Enterococcus faecalis;73;3231;1;317;1310;3
Faecalibacterium prausnitzii;139;5723;0;0;0;1
Arcobacter faecis;111;2210;0;0;0;7
Serratia proteamaculans/liquefaciens;98;5798;7;0;0;0
Staphylococcus aureus;112;1694;29;501;838;0
Ochrobactrum pseudogrignonense;120;2048;0;0;1;0
Cloacibacterium normanense;134;1396;0;0;2;0
UB;162;991;0;0;4;0
Bifidobacterium faecale;209;1340;0;0;1;0
Janthinobacterium lividum;225;649;0;0;0;3
Moraxella oslensis;235;561;4;0;0;0
metagenome;263;483;0;0;0;5
Janthinobacterium lividum;413;745;0;0;0;8
Fermentibacillus polygoni;356;338;5;67;65;194
Brochothrix sp.;369;335;2;68;44;168
Bacillus altitudinis;407;329;0;126;189;0
Aeromonas caviae;1179;264;0;0;0;6
Bacillus subtilis;503;261;0;54;197;0
unknown species;414;243;0;0;0;5
Zoogloea oleivorans;423;221;0;0;0;4
metagenome;481;187;0;0;1;0
Listeria monocytogenes;523;170;0;37;27;1
Rahnella aquatilis;854;133;0;0;0;2
Pseudomonas putida;801;112;0;0;0;1
Oligotropha carboxidovorans;1085;108;1;0;0;0
Staphylococcus aureus;1294;107;0;53;50;0
