species;STD6310;STD6300;STD6300_VDU;STD6310_VDU
Aliarcobacter cryaerophilus;0;0;6;88
unknown species;0;0;2;0
Bacteroides sp.;0;0;0;22
Cirocbacter freundii;1;15;49;1
Listeria monocytogenes;17519;406;397;22814
Pseudochrobactrum sp.;0;0;1;0
Salmonella enterica;243;3904;6411;322
Escherichia coli;4569;3142;5723;7508
Bacillus subtilis;800;2588;5334;2530
Arcobacter cloacae/defluvii;0;0;0;22
Acinetobacter xiamenensis;0;0;0;9
unknown species;0;0;1;0
Limosilactobacillus fermentum;33;1501;3113;8
Trichococcus flocculiformis;0;0;1;0
Prevotella copri;0;0;0;9
Comamonas tetosteroni;0;0;0;5
Enterococcus faecalis;1;317;1310;3
Faecalibacterium prausnitzii;0;0;0;1
Arcobacter faecis;0;0;0;7
Serratia proteamaculans/liquefaciens;7;0;0;0
Staphylococcus aureus;29;501;838;0
Ochrobactrum pseudogrignonense;0;0;1;0
Cloacibacterium normanense;0;0;2;0
UB;0;0;4;0
Bifidobacterium faecale;0;0;1;0
Janthinobacterium lividum;0;0;0;3
Moraxella oslensis;4;0;0;0
metagenome;0;0;0;5
Janthinobacterium lividum;0;0;0;8
Fermentibacillus polygoni;5;67;65;194
Brochothrix sp.;2;68;44;168
Bacillus altitudinis;0;126;189;0
Aeromonas caviae;0;0;0;6
Bacillus subtilis;0;54;197;0
unknown species;0;0;0;5
Zoogloea oleivorans;0;0;0;4
metagenome;0;0;1;0
Listeria monocytogenes;0;37;27;1
Rahnella aquatilis;0;0;0;2
Pseudomonas putida;0;0;0;1
Oligotropha carboxidovorans;1;0;0;0
Staphylococcus aureus;0;53;50;0
