#comment	blast_taxonomy	seed_id	taxonomy	observation_name	observation_sum	DBIbiofilm100_GTCGGC-K37J4_L001	DBIbiofilm101_TGTAAA-K37J4_L001	DBIbiofilm102_CAGCGT-K37J4_L001	DBIbiofilm103_GGATCA-K37J4_L001	DBIbiofilm104_CCCCAT-K37J4_L001	DBIbiofilm105_CCTCCC-K37J4_L001	DBIbiofilm109_CCTGCT-K37J4_L001	DBIbiofilm10_CTAGTC-K37J4_L001	DBIbiofilm110_TTACTC-K37J4_L001	DBIbiofilm111_ATTAGG-K37J4_L001	DBIbiofilm112_GCCTAA-K37J4_L001	DBIbiofilm113_AAAGCG-K37J4_L001	DBIbiofilm114_TTGCTA-K37J4_L001	DBIbiofilm115_TCTTCT-K37J4_L001	DBIbiofilm116_CTACTA-K37J4_L001	DBIbiofilm118_GGCTTG-K37J4_L001	DBIbiofilm119_TGCGCT-K37J4_L001	DBIbiofilm120_ACGATC-K37J4_L001	DBIbiofilm121_CGCTCT-K37J4_L001	DBIbiofilm122_GATAGA-K37J4_L001	DBIbiofilm55x4_AGATAG-K37J4_L001	DBIbiofilm98_CCGTCA-K37J4_L001	DBIbiofilm99_CATCCT-K37J4_L001	DBIbiofilm9_TATCAT-K37J4_L001	VD-DBIbiofilm-ech34_TCCATT-JNFP8_L001	VD-DBIbiofilm-ech54_ACCTCA-JNFP8_L001	VD-DBIbiofilm-ech55_CCCGAG-JNFP8_L001	VD-DBIbiofilm-ech55bis_GGACGG-JNFP8_L001	VD-DBIbiofilm-ech56_GGTATA-JNFP8_L001	VD-DBIbiofilm-ech57_GTGCTG-JNFP8_L001	VD-DBIbiofilm-ech58_CCCTCC-JNFP8_L001	VD-DBIbiofilm-ech60_GAGAAC-JNFP8_L001	VD-DBIbiofilm-ech61_TGGTGT-JNFP8_L001	VD-DBIbiofilm-ech62_AAACAA-JNFP8_L001	VD-DBIbiofilm-ech63_AGGGAT-JNFP8_L001	VD-DBIbiofilm-ech64_TGCGGG-JNFP8_L001	VD-DBIbiofilm-ech65_TCTATG-JNFP8_L001	VD-DBIbiofilm-ech68_GCAATA-JNFP8_L001	VD-DBIbiofilm-ech69_CAATTA-JNFP8_L001	VD-DBIbiofilm-ech70_CAATGC-JNFP8_L001	VD-DBIbiofilm-ech71_TGTTCG-JNFP8_L001	VD-DBIbiofilm-ech72_CCAACA-JNFP8_L001	VD-DBIbiofilm-ech73_CTACCG-JNFP8_L001	VD-DBIbiofilm-ech74_TCGTTC-JNFP8_L001	VD-DBIbiofilm-ech75_GCGATG-JNFP8_L001	VD-DBIbiofilm-ech76_ATATAA-JNFP8_L001	VD-DBIbiofilm-ech77_ATACTG-JNFP8_L001	VD-DBIbiofilm-ech78_GGAGAG-JNFP8_L001	VD-DBIbiofilm-ech79_ACGAGA-JNFP8_L001	VD-DBIbiofilm-ech80_ATTACA-JNFP8_L001	VD-DBIbiofilm-ech81_TGATTT-JNFP8_L001	VD-DBIbiofilm-ech82_GGGGTG-JNFP8_L001	VD-DBIbiofilm-ech83_ACAAAA-JNFP8_L001	VD-DBIbiofilm-ech84_CTCCAG-JNFP8_L001	VD-DBIbiofilm-ech85_GGTGTT-JNFP8_L001	VD-DBIbiofilm-ech86_CGGGAG-JNFP8_L001	VD-DBIbiofilm-ech87_TGGTAG-JNFP8_L001	VD-DBIbiofilm-ech90_AACCGA-JNFP8_L001	VD-DBIbiofilm-ech91_GGCAAT-JNFP8_L001	VD-DBIbiofilm-ech92_CCTTGA-JNFP8_L001	VD-DBIbiofilm-ech93_GTTTCT-JNFP8_L001	VD-DBIbiofilm-ech94_ACACGC-JNFP8_L001	VD-DBIbiofilm-ech95_GTGGGG-JNFP8_L001	VD-DBIbiofilm-ech96_CACCCA-JNFP8_L001
	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:11362:1463	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;Multi-affiliation	Cluster_3	103467	7480	564	884	3278	5103	759	566	0	859	10	57	240	1214	15	61	0	4371	5164	4852	5290	19	368	3676	0	36	12106	28	33	17668	3983	11471	2027	64	21	16	6	83	794	473	5025	319	77	44	546	108	146	2308	770	215	40	52	26	26	5	1	6	6	9	6	76	7	3	2	5
	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1103:6150:17363	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	Cluster_7	438655	854	2086	1050	2404	1117	2179	4862	0	2666	2731	4934	4516	3127	4033	4755	0	820	1042	1106	1488	114	1010	4405	661	15627	3112	173	119	3437	1893	3055	16549	6469	5817	10913	756	22	22155	22702	26751	12241	14715	16324	9196	4021	5594	4016	7703	10694	16547	24859	16688	19021	11183	12410	8544	11672	4474	7307	10113	4851	4290	4929	5753
	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:14771:3259	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Multi-affiliation	Cluster_2	81144	256	283	358	106	402	113	262	0	1699	2366	1000	376	1605	2997	826	0	0	0	0	1	0	313	226	0	4136	1	0	2	1	1	1	2559	1772	1886	2731	0	0	1594	1695	1356	1364	3470	4094	2423	368	1481	530	2825	1377	698	563	704	525	1925	2802	2712	2971	1174	4159	825	2815	3891	4456	2068
	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:12038:1651	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation	Cluster_1	88621	669	39	391	114	665	55	655	0	1598	961	1456	1215	1466	1402	877	0	300	288	262	291	2	521	231	0	7626	1416	15	2	1407	260	627	1873	1287	5927	3746	0	22	4961	1712	848	959	3871	3785	1764	1347	1853	1803	2890	2417	899	325	250	214	1839	1482	1143	992	1974	3322	776	1617	3345	2649	1918
	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Proteocatella;unknown species	M01945:370:000000000-K37J4:1:1101:13084:1626	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Proteocatella;unknown species	Cluster_4	101228	5161	3225	2801	4227	6396	2299	0	0	0	0	0	0	0	0	0	0	7	3	12	15	0	3413	7911	0	7353	28	4	0	39	85	83	13819	3764	1	12	2	0	12723	5111	2510	162	60	76	1032	4990	925	3561	875	71	4058	0	25	0	94	4	0	0	4270	0	0	12	9	0	0
	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:17881:1440	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Multi-affiliation	Cluster_6	59442	258	217	470	439	247	215	2493	0	2607	2132	1552	2368	3079	3261	649	0	1	3	2	4	3	502	789	0	4629	9	1	3	7	8	4	535	832	4663	5094	0	0	566	515	356	62	200	477	170	688	1458	1142	1715	1564	191	142	167	105	81	59	98	79	1374	1360	2760	1111	1604	1316	3006
	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Acetoanaerobium;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:21130:2441	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Acetoanaerobium;Multi-affiliation	Cluster_5	55154	979	6402	516	1269	523	7569	0	0	3	3	0	0	2	6	0	0	13	13	22	16	0	267	597	0	1	39	0	8	49	83	29	2826	19670	225	1	0	0	1939	841	3623	380	12	1	38	1855	433	3574	50	11	14	5	2	533	0	0	0	1	7	3	180	520	1	0	0
	Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Multi-affiliation	M01945:370:000000000-K37J4:1:1101:17349:1251	Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;Multi-affiliation	Cluster_8	42626	0	0	0	0	0	0	0	17505	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	400	0	1	0	0	0	0	0	1430	57	0	4	393	22805	0	0	0	0	0	0	0	5	0	6	1	0	0	0	0	0	6	0	0	0	1	1	0	1	2	0	6
	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5	M01945:370:000000000-K37J4:1:1102:5883:11406	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5	Cluster_14	37109	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	23631	1	92	20	0	0	0	335	3	0	17	0	0	20	170	138	0	0	453	17	6	50	101	0	0	2188	919	31	4	574	23	3	1	5094	1	2951	75	86	85	3
	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Multi-affiliation;Multi-affiliation	M01945:370:000000000-K37J4:1:1103:27888:8222	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Multi-affiliation;Multi-affiliation	Cluster_12	36980	14	3	37	0	12	0	5	0	133	20	2	7	45	25	0	0	1	0	0	0	0	37	0	0	61	3	6	0	3	2	1	11881	3102	5793	500	2	0	89	134	231	10742	140	585	265	153	356	36	249	1467	0	1	2	2	0	3	56	213	31	201	19	71	78	13	148
