species;nb_seq;ech
Listeria monocytogenes;17505;6310_pin80
Pseudomonas aeruginosa;4316;6310_pin80
Bacillus subtilis;770;6310_pin80
Escherichia coli;220;6310_pin80
Salmonella enterica;230;6310_pin80
Fermentibacillus polygoni;0;6310_pin80
Aeromonas cavernicola/allosaccharophila;0;6310_pin80
Limosilactobacillus fermentum;33;6310_pin80
Enterococcus faecalis;0;6310_pin80
Cirocbacter freundii;0;6310_pin80
Listeria monocytogenes;0;6310_pin80
Staphylococcus aureus;27;6310_pin80
Listeria monocytogenes;400;6300_pin80
Pseudomonas aeruginosa;549;6300_pin80
Bacillus subtilis;2515;6300_pin80
Escherichia coli;2462;6300_pin80
Salmonella enterica;3688;6300_pin80
Fermentibacillus polygoni;50;6300_pin80
Listeria monocytogenes;55;6300_pin80
Aeromonas cavernicola/allosaccharophila;661;6300_pin80
Limosilactobacillus fermentum;1428;6300_pin80
Enterococcus faecalis;281;6300_pin80
Cirocbacter freundii;0;6300_pin80
Listeria monocytogenes;38;6300_pin80
Staphylococcus aureus;459;6300_pin80
Listeria monocytogenes;393;6300_VD_pin80
Pseudomonas aeruginosa;1001;6300_VD_pin80
Bacillus subtilis;5498;6300_VD_pin80
Escherichia coli;4680;6300_VD_pin80
Salmonella enterica;6209;6300_VD_pin80
Fermentibacillus polygoni;58;6300_VD_pin80
Listeria monocytogenes;32;6300_VD_pin80
Aeromonas cavernicola/allosaccharophila;756;6300_VD_pin80
Limosilactobacillus fermentum;3059;6300_VD_pin80
Enterococcus faecalis;1217;6300_VD_pin80
Cirocbacter freundii;54;6300_VD_pin80
Listeria monocytogenes;25;6300_VD_pin80
Staphylococcus aureus;797;6300_VD_pin80
Listeria monocytogenes;22805;6310_VD_pin80
Pseudomonas aeruginosa;7142;6310_VD_pin80
Bacillus subtilis;2481;6310_VD_pin80
Escherichia coli;356;6310_VD_pin80
Salmonella enterica;286;6310_VD_pin80
Fermentibacillus polygoni;175;6310_VD_pin80
Listeria monocytogenes;138;6310_VD_pin80
Aeromonas cavernicola/allosaccharophila;0;6310_VD_pin80
Limosilactobacillus fermentum;0;6310_VD_pin80
Enterococcus faecalis;0;6310_VD_pin80
Cirocbacter freundii;0;6310_VD_pin80
Listeria monocytogenes;0;6310_VD_pin80
Staphylococcus aureus;0;6310_VD_pin80
