"Well";"Fluor";"Target";"Content";"Sample";"Cq";"Starting Quantity (SQ)";"Melt Temperature";"Peak Height";"ID";"ADN";"Dilution";"Cq_modif";"modif_ligne";"SQ_final"
"A01";"SYBR";"qnrC";"Std";NA;7.67200643604644;1e+08;"80";"459.18300694222199";"STD";0;NA;7.67200643604644;"FALSE";1e+08
"A02";"SYBR";"qnrC";"Std";NA;7.48790409304754;1e+08;"80";"458.275748411922";"STD";0;NA;7.48790409304754;"FALSE";1e+08
"A03";"SYBR";"qnrC";"Std";NA;7.45599856984924;1e+08;"80";"434.54356880453201";"STD";0;NA;7.45599856984924;"FALSE";1e+08
"A04";"SYBR";"qnrC";"Unkn";"57x1/10";NA;NA;"None";"None";"57";0;"1/10";35;"Non Detec";0.562544737319376
"A05";"SYBR";"qnrC";"Unkn";"60xND";NA;NA;"None";"None";"60";0;"ND";35;"Non Detec";0.562544737319376
"A06";"SYBR";"qnrC";"Unkn";"61xND";NA;NA;"None";"None";"61";0;"ND";35;"Non Detec";0.562544737319376
"A07";"SYBR";"qnrC";"Unkn";"80xND";NA;NA;"None";"None";"80";0;"ND";35;"Non Detec";0.562544737319376
"A08";"SYBR";"qnrC";"Unkn";"109xND";NA;NA;"None";"None";"109";0;"ND";35;"Non Detec";0.562544737319376
"A09";"SYBR";"qnrC";"Unkn";"90xND";NA;NA;"None";"None";"90";0;"ND";35;"Non Detec";0.562544737319376
"A10";"SYBR";"qnrC";"Unkn";"98xND";NA;NA;"None";"None";"98";0;"ND";35;"Non Detec";0.562544737319376
"A11";"SYBR";"qnrC";"Unkn";"55x1/10";NA;NA;"None";"None";"55";0;"1/10";35;"Non Detec";0.562544737319376
"B01";"SYBR";"qnrC";"Std";NA;11.1566343208897;1e+07;"80";"404.545311118938";"STD";0;NA;11.1566343208897;"FALSE";1e+07
"B02";"SYBR";"qnrC";"Std";NA;11.0912662279389;1e+07;"80";"423.33645000806303";"STD";0;NA;11.0912662279389;"FALSE";1e+07
"B03";"SYBR";"qnrC";"Std";NA;11.0764396792767;1e+07;"80";"424.96930391943198";"STD";0;NA;11.0764396792767;"FALSE";1e+07
"B04";"SYBR";"qnrC";"Unkn";"56x1/10";NA;NA;"None";"None";"56";0;"1/10";35;"Non Detec";0.562544737319376
"B05";"SYBR";"qnrC";"Unkn";"68xND";NA;NA;"None";"None";"68";0;"ND";35;"Non Detec";0.562544737319376
"B06";"SYBR";"qnrC";"Unkn";"75xND";NA;NA;"None";"None";"75";0;"ND";35;"Non Detec";0.562544737319376
