Well;Fluor;Target;Content;Sample;Cq;Starting Quantity (SQ);Melt Temperature;Peak Height;Slope;Y-Intercept
A01;SYBR;qnrA;Std;;7.93;100000000;85.5;398.24;-3.296;33.933
A02;SYBR;qnrA;Std;;7.74;100000000;85;392.43;-3.296;33.933
A03;SYBR;qnrA;Std;;7.64;100000000;85;376.46;-3.296;33.933
A04;SYBR;qnrA;Unkn;57x1/10;21.42;6248.05252;85;379.65;-3.296;33.933
A05;SYBR;qnrA;Unkn;60xND;35.01;0.4706;None;None;-3.296;33.933
A06;SYBR;qnrA;Unkn;61xND;30.06;14.99347;85;304.52;-3.296;33.933
A07;SYBR;qnrA;Unkn;80xND;29.93;16.37815;85;321.06;-3.296;33.933
A08;SYBR;qnrA;Unkn;109xND;30.02;15.3491;85;320.08;-3.296;33.933
A09;SYBR;qnrA;Unkn;90xND;29.1;29.28294;85;342.91;-3.296;33.933
A10;SYBR;qnrA;Unkn;98x1/10;33.67;1.20363;85;175.34;-3.296;33.933
A11;SYBR;qnrA;Unkn;55x1/10;;;None;None;-3.296;33.933
B01;SYBR;qnrA;Std;;11.16;10000000;85;364.22;-3.296;33.933
B02;SYBR;qnrA;Std;;11.06;10000000;85;367.85;-3.296;33.933
B03;SYBR;qnrA;Std;;11.14;10000000;85;370.81;-3.296;33.933
B04;SYBR;qnrA;Unkn;56x1/10;30.74;9.3093;85;278.28;-3.296;33.933
B05;SYBR;qnrA;Unkn;68xND;29.37;24.30283;85;323.08;-3.296;33.933
B06;SYBR;qnrA;Unkn;75xND;28.16;56.30462;85;337.98;-3.296;33.933
B07;SYBR;qnrA;Unkn;81xND;30.4;11.83301;85;305.94;-3.296;33.933
B08;SYBR;qnrA;Unkn;113xND;30.74;9.31031;85;298.75;-3.296;33.933
B09;SYBR;qnrA;Unkn;91xND;30.82;8.83397;85;298.3;-3.296;33.933
B10;SYBR;qnrA;Unkn;102xND;32.15;3.473;85;257.2;-3.296;33.933
B11;SYBR;qnrA;Unkn;54x1/10;30.59;10.37382;85;285.14;-3.296;33.933
C01;SYBR;qnrA;Std;;14.07;1000000;85;380.32;-3.296;33.933
C02;SYBR;qnrA;Std;;14.06;1000000;85;409.31;-3.296;33.933
C03;SYBR;qnrA;Std;;13.97;1000000;85;418.6;-3.296;33.933
C04;SYBR;qnrA;Unkn;58x1/10;30.63;10.08035;85;321.4;-3.296;33.933
C05;SYBR;qnrA;Unkn;69xND;30.26;13.04315;85;331.12;-3.296;33.933
